titulo,año,duracion,pais,director,generos,valoracion_media,num_votos,tipo,url,fecha_extraccion,categoria_extraccion,genero_Serie de TV,genero_Thriller,genero_Animación,genero_Intriga,genero_Aventuras,genero_Acción,genero_Romance,genero_Documental,genero_Western,genero_Bélico,genero_Infantil,genero_Drama,genero_Musical,genero_Fantástico,genero_Comedia,genero_Ciencia ficción,genero_Terror,decada
Tragones y mazmorras,2024,24,No disponible,No disponible,"['Serie de TV', 'Animación', 'Comedia', 'Fantástico', 'Acción']",7.1,809,Película,https://www.filmaffinity.com/es/film407614.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2020
The Gentlemen: La serie,2024,55,No disponible,No disponible,"['Serie de TV', 'Thriller', 'Acción', 'Comedia']",7.1,8287,Película,https://www.filmaffinity.com/es/film629037.html,2025-04-07,Series de Acción 2024,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020
Comando Monster,2024,22,No disponible,No disponible,"['Serie de TV', 'Animación', 'Acción']",7.1,945,Película,https://www.filmaffinity.com/es/film406091.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020
Secret Level,2024,15,No disponible,No disponible,"['Serie de TV', 'Animación', 'Acción', 'Ciencia ficción', 'Fantástico']",6.8,2418,Película,https://www.filmaffinity.com/es/film592002.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2020
El ocaso de los dioses,2024,30,No disponible,No disponible,"['Serie de TV', 'Animación', 'Acción', 'Fantástico']",6.7,710,Película,https://www.filmaffinity.com/es/film379065.html,2025-04-07,Series de Acción 2024,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020
Dragon Ball Daima,2024,25,No disponible,No disponible,"['Serie de TV', 'Animación', 'Ciencia ficción', 'Acción', 'Aventuras']",6.5,819,Película,https://www.filmaffinity.com/es/film358003.html,2025-04-07,Series de Acción 2024,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2020
Dan Da Dan,2024,22,No disponible,No disponible,"['Serie de TV', 'Animación', 'Intriga', 'Ciencia ficción', 'Comedia', 'Romance']",7.6,1470,Película,https://www.filmaffinity.com/es/film615629.html,2025-04-07,Series de Ciencia Ficción 2024,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2020
Fallout,2024,60,No disponible,No disponible,"['Serie de TV', 'Ciencia ficción']",7.4,14723,Película,https://www.filmaffinity.com/es/film556204.html,2025-04-07,Series de Ciencia Ficción 2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020
Materia oscura,2024,50,No disponible,No disponible,"['Serie de TV', 'Ciencia ficción', 'Intriga']",6.7,2224,Película,https://www.filmaffinity.com/es/film996227.html,2025-04-07,Series de Ciencia Ficción 2024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2020
Star Wars: Crónicas del Imperio,2024,15,No disponible,No disponible,"['Serie de TV', 'Animación', 'Ciencia ficción', 'Aventuras']",6.6,1006,Película,https://www.filmaffinity.com/es/film476267.html,2025-04-07,Series de Ciencia Ficción 2024,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020
Dune: La profecía,2024,60,No disponible,No disponible,"['Serie de TV', 'Ciencia ficción', 'Aventuras', 'Drama']",6.6,2900,Película,https://www.filmaffinity.com/es/film811200.html,2025-04-07,Series de Ciencia Ficción 2024,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2020
El problema de los 3 cuerpos,2024,58,No disponible,No disponible,"['Serie de TV', 'Ciencia ficción', 'Fantástico']",6.5,9264,Película,https://www.filmaffinity.com/es/film459562.html,2025-04-07,Series de Ciencia Ficción 2024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2020
The Walking Dead: The Ones Who Live,2024,55,No disponible,No disponible,"['Serie de TV', 'Terror', 'Ciencia ficción']",6.3,1058,Película,https://www.filmaffinity.com/es/film770014.html,2025-04-07,Series de Ciencia Ficción 2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020
Django desencadenado,2012,165,No disponible,No disponible,['Western'],7.9,120013,Película,https://www.filmaffinity.com/es/film929558.html,2025-04-07,Western 2010-2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010
Los odiosos ocho,2015,167,No disponible,No disponible,"['Western', 'Intriga']",7.3,65892,Película,https://www.filmaffinity.com/es/film647932.html,2025-04-07,Western 2010-2020,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2010
El renacido,2015,156,No disponible,No disponible,"['Aventuras', 'Western']",7.2,73828,Película,https://www.filmaffinity.com/es/film117532.html,2025-04-07,Western 2010-2020,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2010
Comanchería,2016,102,No disponible,No disponible,"['Thriller', 'Western', 'Drama', 'Acción']",7.2,32890,Película,https://www.filmaffinity.com/es/film934874.html,2025-04-07,Western 2010-2020,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2010
